Topic_No,Topic_Perc_Contrib,Topic_Keywords,Text,Clean_Text
0,0.4995,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","yes when the #Russian war is over, it will need 2 earn money so it can pay for the resoration of #Ukraine #SlavaUkraine",russian war earn money pay resoration slavaukraine
2,0.48,"https, military, medium, shell, power, missile, claim, strike, bomb, government",You want Putin to take over Germany as well? Don’t you understand what Authoritarian governments do?,understand authoritarian government
7,0.643,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Reality too hard for you is it son? Crying for your Azov filth? Bend over some more for the US ....you like that dont you? Blocked,reality hard son cry azov filth bend block
3,0.4185,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Zelenskyy warns that Russian ambitions don’t end with Ukraine - The Wall Street Journal https://t.co/5KrawRiPr9,zelenskyy warn russian ambition ukraine
4,0.4507,"ukraine, war, nazi, https, call, support, happen, fact, side, win","Situation? Do you call genocide / war / annexation / rape of Ukrainians a situation? from now on, I will call the situation everything that happened or will happen to the Jews and Israel. for example, do you remember the situation when Jews were burned?",situation call genocide war annexation rape ukrainian situation call situation happen happen remember situation burn
4,0.3388,"ukraine, war, nazi, https, call, support, happen, fact, side, win",WE WANT PEACE! #strisciaforpeace,peace
0,0.7607,"invasion, money, support, soldier, leave, year, start, direct, pay, shit"," US, UK, CA TO DO LIST: 1. Immediately implement Sanction List 2. Declare RU Sponsor of Terrorism 3. Recognize Russia actions in UA as GENOCIDE 4. FULL LEND-LEASE FOR UA until last russian soldier either left or interred in Ukraine soil https://t.co/NkxGh2FZCe",implement sanction list declare sponsor terrorism recognize action genocide full lend lease russian soldier leave inter
4,0.6087,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Zelensky has had several chances to end the war but his American masters have ordered him to continue.,zelensky chance war american master order continue
6,0.3219,"country, day, attack, lose, leader, sanction, death, good, tell, read",Ukraine leader Zelenskyy says he will meet Sunday in Kyiv with US defense secretary … https://t.co/1weCSTQeMJ,leader zelenskyy meet https
6,0.4496,"country, day, attack, lose, leader, sanction, death, good, tell, read",Everyone is losing from the Russia invasion of Ukraine. Ukraine Russia Europe Poor countries Rich countries USA,lose invasion poor country rich country
6,0.5258,"country, day, attack, lose, leader, sanction, death, good, tell, read",and Tried and accomplished a delay (as Ukrainian Troops we’re dying each day) by blackmailing Zelenskyy; threatened to pull out of NATO and said this week he told NATO Countries he would not defend them against a Russian attack. 1/2,accomplish delay ukrainian troop die day blackmailing zelenskyy threaten pull week tell country defend russian attack
3,0.4907,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Alright, it s stupid when putin says it and it s stupid when anyone else says it. They may be amoral monsters but the nazis were a specific thing. They re not nazis.",stupid stupid amoral monster nazi specific nazi
4,0.7255,"ukraine, war, nazi, https, call, support, happen, fact, side, win","No, I m Greek. I m talking the facts, not taking sides. I m against any war. I just don t see Ukraine winning. I don t see how it can happen.",greek talk fact side war ukraine win happen
7,0.6426,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","My guess is the only reason they re still alive in the steel plant is there are NATO commanders and civilian, human shields inside with the nazis.",guess reason alive steel_plant commander civilian human_shield nazi
4,0.6691,"ukraine, war, nazi, https, call, support, happen, fact, side, win","More ""indiscriminate"" bombing. They were hoping to hit civilians but accidentally hit another NATO arms depot.",indiscriminate bombing hope hit civilian accidentally hit arm depot
1,0.2934,"time, fight, https, join, state, land, wrong, find, economy, invade","Why Ukraine need to join NATO while Russia didn t accept it,i think Russia fear of security if Ukraine join with NATO because Russia is not a member of NATO and Ukraine is nearby Russia.But for the sake of peace to people of Ukraine is better this issue to be stopped by peaceful",join accept fear join sake peace people ukraine issue stop peaceful
7,0.2838,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","“The world will not be destroyed by those who do evil, but by those who watch them without doing anything.” Albert Einstein #teardownthiswall #stoprussianwar #kyjiw #bucha #irpin #mariupol #kramatorsk #voelkermord #ukraine #nfz https://t.co/KuvLwpzcqD",destroy evil
4,0.7194,"ukraine, war, nazi, https, call, support, happen, fact, side, win",I just signed a petition #Ukraine: Peace Now! Add your name here... https://t.co/EiFKTlGOOf #PeaceForUkraine #StopWarInUkraine,sign petition ukraine peace add https eifktlgoof peaceforukraine
3,0.7127,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",The #RussiaUkraineConflict has prompted another round of #Russiansanctions by the United States. This update summarizes the latest developments and their implications for companies. #sanctions #internationaltrade #exportcontrols https://t.co/G2jxrGfoCC,prompt round united_state update summarize late development implication company sanction exportcontrol jxrgfocc
0,0.4036,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","? I haven t talked to a single Democrat who s supporting Russia s invasion. But sure, okay. Fine",talk single support invasion
3,0.3329,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Ukraine and Russia explore neutrality plan in peace talks https://t.co/gXyZQrqJ6H,ukraine explore neutrality plan peace talk https gxyzqrqj
2,0.2897,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Pope to Patriarch Kirill: May we become peacemakers for Ukraine https://t.co/IJoaVjXxml,ijoavjxxml
5,0.5293,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Those AR-14 Military Assault Machine Tactical Weapons of Mass Destruction used by Trump White Insurectionists and Supremists. Those should be sent to Ukraine 🇺🇦 for self defense! https://t.co/q5IDttdPUy,military assault machine tactical weapon mass destruction trump insurectionist supremist ukraine idttdpuy
5,0.5617,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",#StandWithUkraine️ and #StandUpForUkraine and #Standup4HumanRights against #PutinsWar and #PutinsWarCrimes and #RussianWarCrimes in #Ukraine 🇺🇦 https://t.co/9OxtnAsGCr,standup humanright putinswar oxtnasgcr
7,0.6948,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Ukrainian Intelligence Exposes Russias Secrets https://t.co/Ce4NBQK5qp via ,ukrainian intelligence expose russias secret nbqk qp
2,0.5822,"https, military, medium, shell, power, missile, claim, strike, bomb, government","""...the U.S. gave Ukrainian forces detailed intelligence about exactly when and where Russian missiles and bombs were intended to strike..."" U.S. intel helped Ukraine protect air defenses, shoot down Russian plane carrying hundreds of troops https://t.co/Ldnafco9Vt",ukrainian force detail intelligence russian missile bomb intend strike help protect air defense russian plane carry hundred troop https vt
1,0.2801,"time, fight, https, join, state, land, wrong, find, economy, invade","Those that are on Russia s side are the ones that would have been on Hitler s side back in WW2, because that s how Putin acts right now.",act
5,0.6056,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","The US has been heavily involved in politics, including the maidan revolution and the overthrow of Yanukovych. We all know what the Russians do too. This is a proxy war that crushes Ukrainians in the hope it overthrows Russia, they threaten nukes… Imagine 1962 today…",heavily involve politic include proxy war crush ukrainian hope overthrow threaten nuke imagine
2,0.6723,"https, military, medium, shell, power, missile, claim, strike, bomb, government",The #US and its retarded allies in #Europe and elsewhere are using #Ukraine️ as a battle-ground in their wish to weaken the economic as well as military power of #Russia. Ukraine has to wake up and say no to the NATO gangsters.,retarded ally battle ground weaken economic military power wake gangster
4,0.5384,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Bloomberg: EU Warns Russian Gas Buyers That Ruble Payments Breach Sanctions. https://t.co/eR0OMr1wvz via ,warn russian gas buyer ruble payment breach sanction https
3,0.6135,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",One of the reasons given was that there can t be fast-track membership. #Ukraine had asked for this - but most likely as a negotiating tactic. In fact🇺🇦wants a recognition of CANDIDACY. Ukrainians know that the road to membership will be long - but they need to know they BELONG.,reason fast track membership ukraine ask negotiate tactic fact recognition candidacy ukrainian road membership long belong
0,0.4054,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Somebody better let Putin know - Don t start no shit, Won’t be no shit!",start shit
6,0.6138,"country, day, attack, lose, leader, sanction, death, good, tell, read",House Passes Bill Urging Biden to Sell Seized Russian Yachts to Aid Ukraine - The New York Times https://t.co/q7p9iGs2nW https://t.co/sNieW0VxVh,pass bill urge sell seize russian yacht aid sniew vxvh
7,0.5238,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Ukraine has Nazis as apart of their military called the Azov Battallion and liberals like Nina are here to represent them. You would know that if you were an investigative journalist.,nazi call liberal represent investigative journalist
1,0.5513,"time, fight, https, join, state, land, wrong, find, economy, invade",Freed captive explains why Russians are taking civilians https://t.co/fADT5wIOJ4,free captive explain wioj
3,0.6691,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Please research how he has used his offices to get personal wealth illegally as well as not stopping putin from invading ukraine. He is not for for the job.,office personal wealth illegally stop invade ukraine job
6,0.3561,"country, day, attack, lose, leader, sanction, death, good, tell, read","Read This: ""Putin Must Be Stopped Once and for All"" https://t.co/xyRyPM8Uy4",read stop uy
2,0.4897,"https, military, medium, shell, power, missile, claim, strike, bomb, government",To be honest why should he not? WE keep feeding Ukraine making us as bad as Ukraine and an enemy of Putin. Doris needs to STOP before Doris gets us all Nuked,honest feeding ukraine make bad enemy nuke
3,0.6115,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",We already know that. What we need to know is what are you going to do to help save the children and their families held hostage by #Azov battalion underground in #Azovstal #Mariupol #Ukraine,save child family hold hostage azov_battalion azovstal ukraine
0,0.4528,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Let s see that s 1,500 Russian troops and 5-7 thousand armed locals. I expect 40-50 Ukrainian farmers should be enough to handle them.",russian troop armed local expect ukrainian farmer handle
6,0.6205,"country, day, attack, lose, leader, sanction, death, good, tell, read","This will be a strong documentary … as seen through the eyes of and journalists who have been in the ground every step of the way. Ukraine 🇺🇦 and her brave defiance in the face of Russian military assaults, atrocities, war crimes. https://t.co/IXVxbPcbaG",strong documentary eye journalist ground step brave defiance face russian military assault atrocity crime https
1,0.5607,"time, fight, https, join, state, land, wrong, find, economy, invade",How bout this radical idea...Biden trying to come up with peace plan?....dont we have a State Department?....its almost like we want an endless war in Ukraine... At least try!....we are the #1 Superpower!!!....get both sides together and come up with a way to end the war!!!,bout radical idea peace plan state department endless superpower side war
3,0.5152,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",Biden asks Congress for $33 billion in aid for Ukraine as war drags on https://t.co/YRPolSuCDT,ask aid war drag https yrpolsucdt
1,0.7011,"time, fight, https, join, state, land, wrong, find, economy, invade","Come on. It s 33 billion... not even comparable with the 2.2 trillion (2200 billion) for COVID - CARES act. It s a lot of money to Ukraine, but it s barelly a dent on US economy. As an european, a democrat and a member of the free world, i can only say thank you very much",comparable covid care lot barelly dent economy free
4,0.5703,"ukraine, war, nazi, https, call, support, happen, fact, side, win",JackBrewerBSI: RT AFPI’s national security team and CEO Brooke Rollins welcomed to AFPI HQ today for a national security event on the crisis in Ukraine. https://t.co/jkojpIqmTv,team rollin welcome security event crisis
6,0.6764,"country, day, attack, lose, leader, sanction, death, good, tell, read",Are you familiar with the UN charter ? Who annexed Crimea? Who is behind the Rebels in Donbas? Do you really understand freedom? I think you have been misled. In 21st cent no body goes to war. ie is why we use defense ministry not war ministry. We settle issues int. Court,familiar charter annex rebel understand freedom mislead cent body settle issue int court
7,0.7614,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Again!!! Ukrainian army fire 100 heavy weapons Howitzers destroy Russian... https://t.co/PUCVZNPBDI ,ukrainian army fire heavy weapon howitzer destroy russian https pucvznpbdi
1,0.2834,"time, fight, https, join, state, land, wrong, find, economy, invade","They ve quite literally held Mariupol for almost 60 days, they re fighting harder than any Russian forces are",literally hold mariupol day fight hard russian force
1,0.493,"time, fight, https, join, state, land, wrong, find, economy, invade","When #Fashist were defeated nobody was trying to find a explanation why #Nazis did what they did! Really I am feed up with stories about good, afraid or deceived #Russia #Russians! There are non, all are responsible for #WarCrimes in #Ukraine and this war! All of them!!!",defeat find explanation nazi feed story deceive responsible warcrime
5,0.3105,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","Ukrainian soldier sings ""Glory to Ukraine"" 🇺🇦 ❤️ 💪🏼 #Ukraine #Russia #UkraineWar https://t.co/9DPxOzJpap",ukrainian soldier sing glory
7,0.6706,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","So far, fighters from the U.S., the U.K. and Georgia are confirmed to have died fighting Russian forces and there are reports that at least one South Korean has also been killed. https://t.co/jgvugnreJj",fighter confirm die fight russian force report south kill
5,0.5909,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","It is true. The people who love Trump are also defending Putin. They are hoping to live in the same kind of society. They are working hard to take over the governments, locally, statewide and Federally. It will be a sad time for our freedoms if/when they succeed.",people love trump defend hope live society work hard government locally statewide federally sad time freedom succeed
5,0.5349,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","By purchasing NFT from this collection, you are helping the Ukrainian army and thereby making your contribution to the victory over rashism https://t.co/cNcMdJa2i9 #putin huilo #StopRussia #StandWithUkraine️ #StopPutinNOW #StopRussianAgression #StopWarInUkraine https://t.co/8SzQQ34z4w",purchase collection help ukrainian army make contribution victory rashism szqq
1,0.3403,"time, fight, https, join, state, land, wrong, find, economy, invade",And how do you feel about all the things going on in Ukraine right now..? Ukrainians do not want to be a part of Russia. Why does Russia want it so badly and aren’t able to just live in peace..?,feel thing ukrainian badly live peace
3,0.5188,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",No respect for their dead. They proved this in this war. The Russians left their dead lying all over Ukraine. They could not even give them a dignified burial. Grotesque.,respect dead prove war leave dead lie ukraine dignified burial grotesque
5,0.5352,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","He Says Well iTs A good Day ? 2too DiE ... Volodymyr Zelensky refused to be evacuated from Kyiv as Russian hitmen parachuted into capital The Ukrainian President also made a secret visit to the front line, according to the account Thread 🧵⬇️ https://t.co/dr2BxgaXe8",good day die volodymyr refuse evacuated kyiv russian parachute ukrainian secret visit front account thread
7,0.7017,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",is a fraud like Trudeau &amp; Macron - little minions of Schwab and the WEF. Ukraine is a proxy war that will end up going very bad. Catch up. One thing for sure is liberals aren’t very bright.,fraud trudeau minion bad catch liberal bright
7,0.6215,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Ukraine accuses Russia of stealing ‘several hundred thousand tonnes’ of grain https://t.co/B81qHnWjZz,accuse steal tonne grain https
7,0.5303,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force","Most of them went to Poland - over 3 million people. Over 817,000 people went to Romania, more than 656,000 to Russia, almost 520,000 to Hungary, over 443,000 to Moldova, almost 372,000 to Slovakia, and more than 25,000 to Belarus.",people people romania
3,0.6937,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",You re not mentally fit to compete on my level. Ukraine s miliary and administration is about 3/4 Nationalist comprising of actual worshipers of Nazis figures like Stepan Bandera and the SS so on. When you do your research than speak to me.,mentally fit compete level nationalist comprise actual worshiper nazi figure speak
1,0.6937,"time, fight, https, join, state, land, wrong, find, economy, invade",Putin could have behaved better after we gave him a State Dinner with The Queen in 2003. Except he behaved badly poisoning Russians on British soil and invading Ukraine.,behave state dinner queen behave badly poison british soil invade ukraine
2,0.4334,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Praying for getting all of them out to Ukrainian-controlled territory. 🙏 https://t.co/ZcWOqcT0gQ,pray ukrainian control gq
0,0.4908,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",Angelina Jolie continues to communicate with people at the train station in #Lviv 🥰 #Ukraine #UkraineRussiaWar #StandWithUkraine #StopRussianAggression #StopWarInUkraine #RussianWarCrimes #GenocideOfUkrainians #StopPutin #AngelinaJolie https://t.co/lkH5kSxwPi,continue communicate train
4,0.4513,"ukraine, war, nazi, https, call, support, happen, fact, side, win",Not supporting Ukrainian Nazi is now right wing,support ukrainian nazi wing
1,0.5639,"time, fight, https, join, state, land, wrong, find, economy, invade",Ukraine says Russian forces looted Melitopol museum of Scythian gold https://t.co/HUfauiCJep Go check the Swiss Bank Vaults. They were pretty good at holding the Spoils of previous Wars.,russian force loot melitopol scythian https bank vault pretty good holding spoil previous war
6,0.3882,"country, day, attack, lose, leader, sanction, death, good, tell, read",The dregs of society have Ukrainian flags in their bios.,dreg society ukrainian flag bios
6,0.6565,"country, day, attack, lose, leader, sanction, death, good, tell, read","thank you! So proud of you to meet with the bravest world leader! ❤ I know how prayerful you are. May God s love shine through the victory over the sower of destruction. If world leaders unite forces, Putin can be completely immobilized.",meet brave leader shine victory sower destruction leader unite force completely immobilize
3,0.5498,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","General Simonov killed today [Not confirmed, but usually reliable Twitter source] https://t.co/DqIG6359A1",general simonov kill confirm reliable twitter source https dqig
6,0.7493,"country, day, attack, lose, leader, sanction, death, good, tell, read",Chancellor with all due respect. I pray to you and your country to defend and help Ukraine 🇺🇦 to condemn Russia 🇷🇺 firmly and apply strong sanctions. Germany 🇩🇪 has also suffered torture when the East was invaded by the Soviet Union.,chancellor respect pray country condemn firmly apply strong sanction suffer torture east invade soviet_union
7,0.7815,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",The war between Russia and Ukraine was provoked by the USA! Zelinsky is an asshole! Send weapons to Ukraine and let the war go on endlessly! The Ukrainian people can t grow crops. How will the Ukrainian people live next?,provoke send weapon endlessly ukrainian people grow crop ukrainian people live
5,0.5904,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Body bags ahouls be supplied free of charge by NATO to Russia. https://t.co/YelyjjUJ14,body bag ahoul supply free charge yelyjjuj
2,0.5489,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Oh so now now he’s comparing Zelensky with Hitler. There’s never any end to his stupidity. When it is all said and done I sure would like to see his noggin’ claiming he was just following orders.,compare zelensky hitler stupidity noggin claim order
5,0.5585,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","The disinformation is rampant on all sides, bc it s part of warfare tactics. The Ghost of Kyev propaganda story just today was admitted to being bogus by Zelenskyy. There ll be more to be seen as time goes on. So who are you pulling for and why?",disinformation rampant side warfare tactic ghost propaganda story admit bogus zelenskyy time pull
1,0.5388,"time, fight, https, join, state, land, wrong, find, economy, invade",So does Russia but not Ukraine until we arm them. Can’t you see it’s Russia’s excuse to invade and take their land. Clearly not so clear off you fool.,arm excuse invade land clear fool
6,0.5018,"country, day, attack, lose, leader, sanction, death, good, tell, read","But there is nothing wrong with any of that reporting. Ukraine has an issue with the far right, that is good reporting. To hope Ukraine succeeds in defending itself against Russia is also good reporting.",wrong reporting ukraine issue good reporting succeed defend good reporting
3,0.6003,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","Analysis | In cyber conflict, Ukraine has an underdog advantage over Russia https://t.co/gDP95mN5W3",analysis cyber underdog advantage mn
0,0.6024,"invasion, money, support, soldier, leave, year, start, direct, pay, shit",You are the one that started instrumentalising a poor 5 year old Siberian girl here. I am just being realistic. But yes there is the danger of alienating all Russians and many of them are also a victem of putin or just trying to live their lives.,start poor year siberian girl realistic danger alienate live live
5,0.5765,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",Very True! Along with Trump Obama Biden Bush and that clown Zelenskyy. Lock them all up! Destroy the entire oligarch totalitarian system and restore peace and liberty. I like the way you think!!!!,lock destroy entire oligarch totalitarian system restore peace liberty
5,0.6453,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official",The war in Ukraine will have serious global knock-on effects (particularly in commodity markets) for years. Legit alarming. I hope I m wrong.,global effect commodity market year legit alarm hope wrong
5,0.7662,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","#Russia|n advances in the #Donbas ""very cautious, very tepid, very uneven"" per a senior US defense official ""In some places, quite frankly, the best word to describe it would be anemic""",advance cautious tepid uneven senior defense official place frankly word anemic
3,0.6731,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak","""When in late March the Ukrainian government put forward a very reasonable set of peace proposals, the lack of public U.S. support for them was extremely striking,"" writes. https://t.co/o8j8qbhZH6",late ukrainian government forward reasonable set peace proposal lack public support extremely striking write https qbhzh
7,0.5784,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",I guess isn’t going to do anything? Sanctions are not working—https://t.co/9lCZYooCEN,guess sanction work https lczyoocen
5,0.6561,"propaganda, amp, trump, kyiv, refugee, news, supply, help, child, official","#UkraineWar Apparently there is a scramble and partition for Ukraine. Some countries very busy scheming to divide it like pizza But with the current level of propaganda and fake news, the world doesn t even know who to believe Photo courtesy https://t.co/A4IVUeZrjf",country busy scheme divide pizza current level propaganda fake news photo ivuezrjf
1,0.3454,"time, fight, https, join, state, land, wrong, find, economy, invade",Azovstal inmates declare victory. Last Ukrainian forces surrounded in the Azovstal steel plant. They have the Russians just where they want them. https://t.co/QMizM4YxRL,azovstal inmate ukrainian force surround azovstal steel_plant https qmizm yxrl
0,0.4324,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Ukrainians are training to fight ""Russian soldiers"" with ""wooden guns"". It s like a comedy. https://t.co/HYAp3E38wt https://t.co/KUZEuwN42v",ukrainian training fight russian soldier wooden gun comedy https
0,0.5828,"invasion, money, support, soldier, leave, year, start, direct, pay, shit","Sir Paul McCartney supported #Ukraine and condemned the actions of #Russia The #British musician, writer and producer, one of the founders of the legendary band The #Beatles raised the #Ukrainian flag at his concert. All you need is love 💛💙 More Update Follow me https://t.co/xOnZZR7uTq",support condemn action producer founder legendary band beatle raise ukrainian flag concert love update follow https xonzzr utq
7,0.1746,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",The ukraine government is corrupt and so is America s! https://t.co/pdIgj1BExp,
2,0.4111,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Macron and Putin talk over the phone - #macron https://t.co/tWpl0DLoTb,phone macron
7,0.5231,"ukrainian, russian, people, nuclear, kill, https, weapon, work, send, force",Andy Vermaut shares:Vladimir Putin Accuses Ukraine Of Not Taking Talks To End War Seriously: Russian President Vladimir Putin told French counterpart Emmanuel Macron Tuesday the West must stop supplying weapons to Ukraine and accused Kyiv of… https://t.co/sj877MfNDs Thank you. https://t.co/f4AoVKPNgw,share accuse talk russian tell french counterpart supply weapon ukraine accuse kyiv sj mfnd https aovkpngw
2,0.4041,"https, military, medium, shell, power, missile, claim, strike, bomb, government","check, how UN controlled the evacuation of people from Mariupol. 11 busses with people got lost in russian filtration camps. you still think, that UN controls something? it does not",check control evacuation people mariupol bus people lose russian filtration camp control
2,0.5472,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Translated from Ukrainian: So did everyone pick up more ammo from the drop last night?,translate ukrainian pick ammo drop night
2,0.4954,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Both Russia &amp; China are weaker militarily than we would expect. RU is a large country with a GDP smaller than Canada s &amp; not able to sustain its military &amp; space programs AND let Putin &amp; his Oligarchs skim mega$ from the economy. And his massive gas station is becoming obsolete.,weak militarily expect large country gdp small amp sustain military amp space program massive gas station obsolete
2,0.6053,"https, military, medium, shell, power, missile, claim, strike, bomb, government","DEMOCRACY IS IDOLATRY~ ANTI-GOD DEMONS NOW! CHECK YOUR INTENTIONS &amp; METHODS GEHAZI DEMOcrats! 📖🕊️🛡️⚖️ #POPEFRANCIS is RIGHT ⚔️ USED (Not IN NATO) TO INCITE RUSSIA S SELF DEFENSE! BUT~RUSSIAN SHIPS NEAR CUBA, ARE TOLD YOU ARE TOO CLOSE🤔 #FixItBiden⚖️",democracy idolatry demon check intention method ship tell close fixitbiden
3,0.3409,"https, lie, troop, hold, ukraine, vote, guy, save, real, speak",The latest AgricBiz! https://t.co/mkk1lnTqjE Thanks to #foodsecurity #ukraine,late https
2,0.2924,"https, military, medium, shell, power, missile, claim, strike, bomb, government",Ukraine please stop embracing yourself,embrace
